2022-07-14 17:35:48 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:37:35 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:37:38 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:38:18 WARNING 127.0.0.1       Cotizacion::validate action abandonned: already validated
2022-07-14 17:38:51 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:54:58 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:55:39 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:55:45 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref= or ref_ext= not found
2022-07-14 17:56:45 WARNING 127.0.0.1       Facture::fetchInvoice with id=5 or ref=ertoerij or ref_ext= not found
2022-07-21 10:50:13 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:53:18 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=edit, massaction=
2022-07-21 10:53:21 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_list.php - action=, massaction=
2022-07-21 10:53:23 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:54:10 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:54:14 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:55:32 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:55:35 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:55:40 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/myStuff/catcher.php - action=, massaction=
2022-07-21 10:56:27 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/cotizacion_card.php - action=, massaction=
2022-07-21 10:56:30 NOTICE  ::1             --- Access to GET /dolibarr/htdocs/custom/cotizaciones/myStuff/catcher.php - action=, massaction=
2022-07-21 13:21:36 ERR     ::1             Propal::create Date of proposal is required
2022-07-21 13:25:40 ERR     ::1             Propal::create Date of proposal is required
2022-07-21 13:29:10 ERR     ::1             Propal::create Date of proposal is required
2022-07-21 13:30:52 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:31:53 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:32:14 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:36:41 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:43:42 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:45:42 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:46:00 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:53:01 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 13:53:06 ERR     ::1             Facture::addline status of invoice must be Draft to allow use of ->addline()
2022-07-21 15:05:47 WARNING ::1             Failed to make include_once 
